hospital,tags,location,img,title
Maternity Care Hospital,Gynecology,https://goo.gl/maps/AK3RQqJr9xkTZFWS6,"""C:\Users\hp\Gyana_HRS\img\maternity care.png""",Gynecology
AMRI Hospital,Gynecology,https://goo.gl/maps/7wCsQrRm6WvHkhSL6,"""C:\Users\hp\Gyana_HRS\img\AMRI Hospital.png""",Hematology
AMRI Hospital,Urology,https://goo.gl/maps/7wCsQrRm6WvHkhSL7,"""C:\Users\hp\Gyana_HRS\img\AMRI Hospital.png""",Neurology
AMRI Hospital,Dermatology,https://goo.gl/maps/7wCsQrRm6WvHkhSL8,"""C:\Users\hp\Gyana_HRS\img\AMRI Hospital.png""",Urology
AMRI Hospital,Cardiology,https://goo.gl/maps/7wCsQrRm6WvHkhSL9,"""C:\Users\hp\Gyana_HRS\img\AMRI Hospital.png""",Orthopedic
Apollo Hospital,Gynecology,https://goo.gl/maps/qBQ1nxvpwPK6iMA80,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",Dermatology
Apollo Hospital,Hematology,https://goo.gl/maps/qBQ1nxvpwPK6iMA81,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",Cancer
Apollo Hospital,Neurology,https://goo.gl/maps/qBQ1nxvpwPK6iMA82,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",Cardiology
Apollo Hospital,Urology,https://goo.gl/maps/qBQ1nxvpwPK6iMA83,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",Gastroenterology
Apollo Hospital,Orthopedic,https://goo.gl/maps/qBQ1nxvpwPK6iMA84,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",Rheumatology
Apollo Hospital,Dermatology,https://goo.gl/maps/qBQ1nxvpwPK6iMA85,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",
Apollo Hospital,Cancer,https://goo.gl/maps/qBQ1nxvpwPK6iMA86,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",
Apollo Hospital,Cardiology,https://goo.gl/maps/qBQ1nxvpwPK6iMA87,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",
Apollo Hospital,Gastroenterology,https://goo.gl/maps/qBQ1nxvpwPK6iMA88,"""C:\Users\hp\Gyana_HRS\img\Apollo Hospital.jpg""",
Care Hospital,Gynecology,https://goo.gl/maps/nB4FV77j4bpkHpkXA,"""C:\Users\hp\Gyana_HRS\img\care hospital.jpg""",
Care Hospital,Urology,https://goo.gl/maps/nB4FV77j4bpkHpkXA,"""C:\Users\hp\Gyana_HRS\img\care hospital.jpg""",
